tweet,store
"昨日はリハビリで都立大に(車で)行ったので、また #sakanabacca で魚買ってきた。
刺身は昨日手巻き寿司で食べて、今日はイトヨリでアクアパッツァ

やっぱ美味しい魚は良いね！ https://t.co/yWTGVOVvIu",toritsu
"最近右手の甲が痛くて、ずっとコード書いてるから腱鞘炎なのかな―？と思ってたんだけど
スランプの時にずっとTwitterをスクロールしてるから説が濃厚になってきたｗ
MX Anywhere2、そんなに安くなかったけど
トラッキングボールとかのほうがよいのかなぁ?",toritsu
"RT @minnano_dogaww: トイレ待ちのマイケルやめろwwww

 https://t.co/dbqcq19SsJ",toritsu
"@trading_algo_Q わたしなら、1件だけであればループ前に確保した一時変数に入れます。
そのほうが効率的かつ可読性が高い気がします！
何件かの履歴を使う、もしくは、今後複数履歴を使うロジックに変える可能性があるのであればリストを使うことを検討します。",toritsu
"メインBOTは午後からスランプ抜けて、転生ラインには届かないものの、そこそこ取れた。

一方、先日から悩んでるのは進まない。
うぅーん。スランプ大統領。

※ 昨日のあべさんとトランプさんは尊敬するデザイナーさんがFBに書いてた絵… https://t.co/ROdMD2YYlN",toritsu
"@yutas001 Y!モバイルに転出依頼した。
無駄な回り道をしてしまった・・・
OCNのままで良かったんや・・・",toritsu
@yutas001 SIMロック解除済み端末でOCN使ってましたしねー,toritsu
https://t.co/ybR7Bi8jOD,toritsu
"Oh・・・　全然確認してなかった・・・・
めちゃくちゃ対応製品少ない・・・・
MNPロスカットするか・・・?
https://t.co/DxxYFVwADd https://t.co/Cu7N6iPZk7",toritsu
@yutas001 まっ！？かうか！3歳以上なら与えてもいいんだよね！？,toritsu
"子どもたちひましてるし、室内で遊べるラジコンでも買うかな

「ラジコン」っと。

いやいやいや、そのラジコンおかしいよ！3歳以上はちょっと早すぎるよ！！！
なんなの？このちんこ走るの？先走るの？なんなの？ｗ https://t.co/yo4qZiivOn",toritsu
"RT @bonobonodesuyo: 【悲報】

デカイ童貞。
生徒に高額なコンサル費用38万を返金要求されて改善する気もなく内容証明を送りつける。

こいつまともじゃねーぞ？
お前らいい加減目を覚ませよ。
ただの童貞だぞ？
素人は内容証明来たらビビると思ってるのが笑えるw…",toritsu
@CFOCEOInvestor わらうしか無いですん?ぴえっへへっへっへん,toritsu
"サポートチャットは返信ないし、コールセンターにはそもそも圏外だからかけられないし、、、
つんだ、、、

#楽天UNLIMIT #楽天モバイル",toritsu
"他の方も言ってるように10秒くらいで圏外になる。
電波拾っても1本だし、、、
やばい、、、
メイン番号、、、

#楽天モバイル https://t.co/VGf8vv9yhq",toritsu
"げ、、、
Rakuten mobileに乗り換えたら
家で圏外、、、
まじかー、、、",toritsu
唯一生き残れるのは変化するものだ。　by ダーウィン https://t.co/HH9pIGYNbl,toritsu
全然新ロジックが整理できない。。。 https://t.co/1g3BSF5HjK,toritsu
"@pokerlogs データ分析に使っているのですが、既存のVPSと負荷状況は変わらない想定です。10台ください。
で通りましたw",toritsu
@CFOCEOInvestor 本気で理解してない説も、、、,toritsu
落ち着け！自分おちつけ！ https://t.co/y79SxUqKJR,toritsu
"@azuma_bitcoin ゲーム系のサービスやってて、とても多いクレームがその類ですね。
例えば不具合で、とても得してしまった人が数人いると
もう、大変な事に、、、
ずるい！わたしにも得させろ！不公平だ！って",toritsu
"@azuma_bitcoin 自分が得できなかった事で怒る
という方はとても多い、遺失利益かのように感じでしまうようですねw",toritsu
@azuma_bitcoin ビットコインやってると悟りをひらけるんですねw,toritsu
RT @ebifly16: 早くこれ言いたいな〜 https://t.co/xxW3AwXmAC,toritsu
@Whiskey_bonbon_ 半身でいいから鯛めし、鯛茶にして食べたい?,toritsu
"今日は伸び悩み
そしてY!mobileで電話が復活！！
電波って大事だね！ https://t.co/P6seFmg1kp",toritsu
"妻と、義妹と、妻の後輩とオンラインボドゲ飲みをやるので
ミスジのローストビーフ作った。 https://t.co/oopXCdMmqD",toritsu
"RT @katsuyatakasu: 賛成?

たけし、怒り爆発 国民に犠牲強いるなら「国会議員は金返せ！」 - エキサイトニュース https://t.co/iBgKNgkkCY",toritsu
RT @kamenya_maen: 台所掃除してたら10年モノの油にまみれたフライパンの蓋が出てきたので、せっかくだから家にあった各種クリーナーでレースをしてみる https://t.co/4Rd6Y9yIm6,toritsu
RT @badassceo: 大事な話をします。人間は普段、自己防衛のため他者に共感する半径を無意識に小さく保っています。半径を広げすぎるとどうなるかというと、アフリカで飢えている子供に同情して食事が喉を通らなくなったり、自分だけ幸せに過ごすのは間違ってるのではという気分になり…,toritsu
"@dorachinyaii 使い道次第よなぁ、、、
キャッシュフローを一旦リセットしてほしいね",toritsu
@boocham_bot @yogabtc 一周まわってかっこいい,toritsu
"RT @OONO_TARO_B: 1いいねにつき1日成長する赤ちゃん
365いいねごとに誕生日が来ます? https://t.co/YUVeLMT9Wu",toritsu
